name,ring,quadrant,isNew,description
Four key metrics,Assess,Techniques,PRAWDA,"<p>Aby mierzyć wydajność dostarczania oprogramowania, coraz więcej organizacji domyślnie stosuje <strong>cztery kluczowe wskaźniki</strong> zdefiniowane przez <a href=""https://www.devops-research.com/""> Program badawczy DORA</a>: czas realizacji zmiany, częstotliwość wdrażania, średni czas do przywrócenia (MTTR) i procent niepowodzeń zmiany. To badanie i jego analiza statystyczna wykazały wyraźny związek między wysoką wydajnością a tymi wskaźnikami; stanowią świetny wiodący wskaźnik pokazujący, jak radzi sobie organizacja dostarczająca jako całość.</p>

<p>Nadal jesteśmy wielkimi zwolennikami tych wskaźników, ale wyciągnęliśmy też pewne wnioski. Wciąż obserwujemy błędne podejścia za pomocą narzędzi, które pomagają zespołom mierzyć te metryki wyłącznie na podstawie ich potoków ciągłego dostarczania (CD). W szczególności, jeśli chodzi o metryki stabilności (MTTR i procent niepowodzeń zmian), same dane potoku CD nie dostarczają wystarczających informacji, aby określić, czym jest niepowodzenie wdrożenia z rzeczywistym wpływem na użytkownika. Wskaźniki stabilności mają sens tylko wtedy, gdy zawierają dane o rzeczywistych incydentach, które pogarszają jakość usług dla użytkowników.</p>

<p>Zalecamy, aby zawsze pamiętać o ostatecznej intencji pomiaru i używać jej do refleksji i uczenia się. Na przykład, zanim spędzisz tygodnie na budowaniu wyrafinowanych narzędzi pulpitu nawigacyjnego, rozważ regularne wykonywanie <a href=""https://www.devops-research.com/quickcheck.html"">szybkiego sprawdzenia DORA</a> podczas retrospekcji zespołu. Daje to zespołowi możliwość zastanowienia się, nad którymi <a href=""https://www.devops-research.com/research.html#capabilities"">możliwościami</a> mogliby pracować, aby poprawić swoje wskaźniki, co może być znacznie bardziej efektywne niż zbyt szczegółowe oprzyrządowanie gotowe do użycia. Należy pamiętać, że te cztery kluczowe wskaźniki pochodzą z badań na poziomie organizacji dotyczących zespołów o wysokiej wydajności, a wykorzystanie tych wskaźników na poziomie zespołu powinno być sposobem na zastanowienie się nad ich własnymi zachowaniami, a nie tylko kolejnym zestawem wskaźników do dodaj do pulpitu nawigacyjnego.</p>"
Production data in test environments,Hold,Techniques,FALSE,"<p>Nadal postrzegamy <strong>dane produkcyjne w środowiskach testowych</strong> jako obszar do niepokoju. Po pierwsze, wiele przykładów takiego działania spowodowało utratę reputacji, na przykład w przypadku wysłania nieprawidłowego ostrzeżenia z systemu testowego do całej populacji klientów. Po drugie, poziom bezpieczeństwa, w szczególności ochrony danych prywatnych, jest zwykle niższy w przypadku systemów testowych. Nie ma sensu opracowywanie skomplikowanych mechanizmów kontroli dostępu do danych produkcyjnych, jeśli dane te są kopiowane do testowej bazy danych, do której dostęp ma każdy programista i każdy programista. Chociaż <em>możesz</em> zaciemnić dane, zwykle dotyczy to tylko określonych pól, na przykład numerów kart kredytowych. Kopiowanie danych produkcyjnych do systemów testowych może złamać przepisy dotyczące prywatności, na przykład w sytuacji, gdy systemy testowe są hostowane lub dostępne z innego kraju lub regionu. Ten ostatni scenariusz jest szczególnie problematyczny w przypadku złożonych wdrożeń w chmurze. Fałszywe dane to bezpieczniejsze podejście, a istnieją narzędzia, które pomagają w ich tworzeniu. Zdajemy sobie sprawę, że istnieją powody, dla których należy kopiować <em>określone</em> elementy danych produkcyjnych, na przykład przy odtwarzaniu błędów lub trenowaniu określonych modeli ML. W tym przypadku radzimy zachować ostrożność.</p>"
Github Actions,Assess,Platforms,PRAWDA,"<p><strong><a href=""https://github.com/features/actions"">Github Actions</a></strong>Narzędzie CI/CD o bardzo dużym potencjale wzrostu.</p>"
Google Cloud Deploy,Trial,Platforms,FALSE,"<p><strong><a href=""https://cloud.google.com/deploy"">Cloud Deploy</a></strong>usługa Google Cloud Platform udostępniająca rozwiązanie CI/CD. W preview umożliwia konfigurację procesu dla Cloud Run etc. </p>"
Secrets data in docker image,Hold,Platforms,FAŁSZ,<p>Umieszczenie secretów/danych dostępowych w obrazie kontenera pozwala na dostęp do nich dla każdego kto może obraz pobrać. Secrety powinny być dołączane na etapie uruchamiania kontenera.</p>
Google Cloud Build,Adopt,Platforms,FALSE,"<p><strong><a href=""https://cloud.google.com/build"">Cloud Build</a></strong>usługa Google Cloud Platform udostępniająca rozwiazanie CI/CD. Wykorzystywana w całym procesie automatyzacji w naszych projektach. </p>"
GoCD,Trial,Platforms,FALSE,"<p><strong><a href=""https://gocd.shoper.cloud"">Cloud Deploy</a></strong>po migracji wszystkich pipeline'ów do GoCD w GCP, chcemy sprawdzić czy rozwiąże to aktualne problemy (TODO: zdefiniować problemy) i czy potrzebujemy ewentualnie poszukać innego narzędzia.</p>"
Google BigQuery,Trial,Platforms,FALSE,"<p><strong><a href=""https://cloud.google.com/bigquery"">Google BigQuery</a></strong>ekonomiczna, bezserwerowa, wielochmurowa hurtownia danych, która wspiera innowacje oparte na danych."
Google Cloud Dataflow,Trial,Platforms,TRUE,"<p><strong><a href=""https://cloud.google.com/dataflow/"">Google Cloud Dataflow</a></strong> to oparta na chmurze usługa przetwarzania danych zarówno wsadowych, jak i rzeczywistych aplikacje do strumieniowego przesyłania danych w czasie. Nasze zespoły używają Dataflow do tworzenia potoków przetwarzania do integracji, przygotowywania i analizowania dużych zbiorów danych, z ujednoliconym modelem programowania <a href=""https://beam.apache.org/"">Apache Beam</a> na górze w celu ułatwienia zarządzania.</p>"
Google Secret Manager,Adopt,Platforms,FAŁSZ,"<p><strong><a href=""https://cloud.google.com/secret-manager"">Google Cloud Secret Manager</a></strong>menadzer sekretów, zarówno do plików jak i zwykłych haseł. Pozwala na bezpieczne przetrzymywanie poufnych danych."
Google Pub/Sub,Adopt,Platforms,FAŁSZ,"<p><strong><a href=""https://cloud.google.com/pubsub"">Cloud Pub/Sub</a></strong>kolejki działające w trybie pull lub push. Aktualnie wykorzystywane przez nasze mikroserwisy do komunikacji asynchronicznej w modelu push."
actions-runner-controller,Assess,Platforms,TRUE,"<p><strong><a href=""https://github.com/actions-runner-controller/actions-runner-controller"">Github Actions Runner Controller</a></strong>Pozwala na uruchomienie Github Actions na własnych zasobach K8s. Do zbadania czy nie zjada to minut z Github Actions i czy chcielibyśmy iść w tę stronę"
